station	dist_coast	latitude	longitude	elevation	state	name
USW00014846	559.999	41.45	-82.7167	178.0	OH	SANDUSKY
USC00129570	930.687	41.65	-87.4833	189.0	IN	WHITING
USW00093815	614.8240000000001	39.9061	-84.2186	304.8	OH	DAYTON INTL AP
USW00024213	3.4834	40.8097	-124.1603	6.1	CA	EUREKA WFO WOODLEY ISLAND
CA007026612	216.637	45.7	-73.5	9.0		RIVIERE DES PRAIRIES
USC00018385	274.015	33.2097	-87.5936	46.3	AL	TUSCALOOSA OLIVER DAM
USC00110306	1028.97	39.9467	-89.7597	179.8	IL	ATHENS 2SW
USC00300732	89.7621	41.5311	-74.4803	396.2	NY	BLOOMINGBURG 2 SW
USC00054603	1234.19	38.7658	-102.8031	1316.7	CO	KIT CARSON
USC00443695	179.268	36.7333	-78.9167	153.0	VA	HALIFAX 2 SSE
USC00206658	672.8960000000001	42.6389	-83.2556	271.3	MI	PONTIAC WWTP
USC00244447	717.373	45.3681	-113.4089	1975.1	MT	JACKSON
USC00285346	17.4207	39.4506	-74.7469	6.1	NJ	MAYS LANDING 1 W
USC00340980	481.20099999999996	34.0211	-95.8722	167.6	OK	BOSWELL 1 S
USC00477092	886.044	46.1222	-89.8772	491.3	WI	REST LAKE
USC00413922	826.779	34.7333	-101.85	1104.0	TX	HAPPY
USC00225247	280.684	33.1356	-89.0711	177.1	MS	LOUISVILLE
USC00305233	291.512	42.4422	-76.7586	460.2	NY	MECKLENBURG 4SW
USC00231037	1036.54	39.4247	-93.1331	201.8	MO	BRUNSWICK
USC00148163	1018.9	39.0667	-95.65	259.7	KS	TOPEKA
USC00112800	930.6080000000001	38.95	-90.35	192.0	IL	ELSAH PRINCIPIA COL
USC00355610	406.941	45.6833	-117.6	1102.2	OR	MINAM 7 NE
USC00205591	664.2510000000001	45.9903	-84.8361	211.8	MI	MORAN
USC00369312	307.231	40.1833	-80.2333	350.5	PA	WASHINGTON
USC00348042	627.928	35.2317	-96.6531	279.8	OK	SEMINOLE
USC00111265	779.668	37.7308	-89.1658	118.9	IL	CARBONDALE SEWAGE PLT
USC00273658	74.6202	42.7828	-71.7986	274.3	NH	GREENVILLE 1 NNE
USC00109119	744.525	42.0833	-115.15	1664.2	ID	THREE CREEK
USC00301593	197.31599999999997	42.6833	-74.4833	274.3	NY	COBLESKILL
USC00126179	817.0189999999999	38.1342	-87.9481	118.9	IN	NEW HARMONY
USC00036928	588.194	35.3028	-93.6369	152.4	AR	SUBIACO
USC00307291	195.85299999999998	42.9239	-73.7858	59.4	NY	ROUND LAKE 1 SE
USC00107858	492.73900000000003	47.35	-115.6667	1266.1	ID	ROLAND WEST PORTAL
USC00253605	1416.39	41.6331	-103.9542	1386.8	NE	HARRISBURG 12WNW
USC00470347	917.2139999999999	46.5522	-90.9161	251.8	WI	ASHLAND 3S
USC00162800	125.979	30.85	-92.7833	45.7	LA	ELIZABETH
USC00295691	961.163	36.35	-104.7667	1922.1	NM	MIAMI
USW00004742	275.909	44.65	-73.4667	71.9	NY	PLATTSBURGH INTL AP
USC00266746	439.245	39.0633	-117.4131	1954.7	NV	REESE RIVER IONE 13NE
USC00206228	809.671	46.8375	-89.4833	186.8	MI	ONTONAGON 8WSW
USC00109303	807.451	42.5458	-114.3461	1207.0	ID	TWIN FALLS 6 E
USC00268202	252.342	38.7456	-119.51	1699.9	NV	TOPAZ LAKE 4 N
USC00202395	754.685	42.6742	-84.485	268.2	MI	EAST LANSING 4 S
USC00154208	633.825	37.0056	-85.0617	271.3	KY	JAMESTOWN WWTP
USW00023019	591.854	31.8333	-106.4	1196.0	TX	BIGGS AFB
USC00153389	484.6	38.3353	-82.9075	176.8	KY	GRAYSON 2 E
USC00440792	359.284	37.0997	-81.1161	609.6	VA	BLAND
USC00023009	443.38300000000004	35.1611	-111.7311	2171.7	AZ	FLAGSTAFF 4 SW
USC00106891	554.99	44.0764	-116.9311	655.3	ID	PAYETTE
USC00047661	14.5571	37.8333	-122.1	189.0	CA	SAINT MARYS COLLEGE
USC00114710	1116.43	41.2428	-89.8997	237.7	IL	KEWANEE 1 E
USC00418926	597.5419999999999	29.4744	-103.4061	1122.3	TX	TERLINGUA RANCH 2
USC00244193	933.2860000000001	46.9997	-109.8694	1293.6	MT	HOBSON
CA006156682	551.298	44.15	-78.98	253.0		PORT PERRY NONQUON
USC00411430	852.3960000000001	34.9806	-101.9264	1094.2	TX	CANYON
USW00003881	242.725	32.8661	-87.2383	137.2	AL	CENTREVILLE 6 SW
USC00101363	456.091	48.0864	-116.0572	662.3	ID	CABINET GORGE
USC00253365	1329.85	40.9394	-100.1514	787.9	NE	GOTHENBURG
USW00012923	0.654401	29.2733	-94.8592	1.5	TX	GALVESTON SCHOLES FLD
USC00096323	63.9188	32.5953	-81.4997	63.7	GA	NEWINGTON
USC00046699	277.938	34.2903	-114.1708	224.9	CA	PARKER RSVR
USC00472678	1065.9	44.6	-90.9667	329.2	WI	FAIRCHILD RS
USC00410313	547.248	33.5947	-98.6117	321.3	TX	ARCHER CITY 1E
CA008101925	1.6956200000000001	44.71	-66.8	78.0		GRAND MANAN SAR CS
USC00335297	451.483	40.5375	-81.9197	249.6	OH	MILLERSBURG
USC00456011	29.7541	46.8333	-123.2333	24.4	WA	OAKVILLE
USC00412084	629.6759999999999	31.6728	-102.4133	892.1	TX	CRANE 10N
USC00474457	1040.35	42.5936	-88.4347	257.9	WI	LAKE GENEVA
USC00425186	983.799	41.7456	-111.8033	1460.0	UT	LOGAN UTAH ST UNIV
USW00014849	621.384	41.5667	-83.4667	193.9	OH	TOLEDO WB AP
USC00247864	903.919	47.1547	-110.2239	1481.3	MT	STANFORD
CA007028441	80.0618	46.1	-71.35	381.0		THETFORD MINES
USC00295079	440.288	32.3094	-108.6531	1293.6	NM	LORDSBURG 4 SE
USC00202631	770.427	43.6156	-83.845	179.2	MI	ESSEXVILLE
USW00093814	639.035	39.0431	-84.6717	264.9	KY	CINCINNATI NORTHERN KY AP
USC00125050	666.11	39.5903	-84.9208	301.8	IN	LIBERTY 3 SSE
USC00404858	457.135	36.5194	-82.5275	391.4	TN	KINGSPORT
USC00368763	126.788	40.8483	-75.9994	347.5	PA	TAMAQUA 4 N DAM
USC00211063	1291.04	45.5939	-96.8278	303.9	MN	BROWNS VALLEY
USC00474523	879.818	45.3333	-88.4981	364.5	WI	LAKEWOOD 3 NE
USC00406427	559.452	35.7167	-86.9667	220.1	TN	NEAPOLIS
USC00138026	1353.16	43.4022	-94.3831	377.6	IA	SWEA CITY 4W
USC00169013	48.2134	29.7547	-90.7747	4.6	LA	THIBODAUX 4 SE
USC00043714	2.0652	37.4725	-122.4433	8.2	CA	HALF MOON BAY
USC00132573	1355.93	42.3619	-93.0989	348.7	IA	ELDORA
USC00044536	102.208	36.0725	-120.0878	154.8	CA	KETTLEMAN STN
USC00257667	1453.86	41.8644	-103.6397	1191.5	NE	SCOTTSBLUFF 1E
USC00467207	344.58	37.3842	-81.0822	722.4	WV	PRINCETON
USC00483936	1448.72	42.5283	-104.9153	1444.4	WY	GLENDO 6NE
USC00320382	1288.48	46.0406	-99.3742	613.9	ND	ASHLEY
USC00367338	242.393	40.1667	-79.2667	405.4	PA	RECTOR 3 SSW
USC00179314	24.6878	43.6878	-70.6128	67.1	ME	WEST BUXTON 2 NNW
USC00242347	921.0219999999999	47.3181	-109.9372	1100.3	MT	DENTON
USC00030764	511.348	34.5697	-93.1947	129.8	AR	BLAKELY MTN DAM
USC00229155	412.09	34.0833	-90.35	46.0	MS	VANCE 2
USC00244530	1177.85	47.4819	-106.4681	726.9	MT	JORDAN 23 ENE
USC00451385	251.847	49.0	-119.0667	1207.9	WA	CHESAW 4 NNW
USC00218618	1090.52	47.0744	-94.57	429.8	MN	WALKER AH GWAH CHING
USC00076020	9.24417	38.5833	-75.3167	6.1	DE	MILLSBORO
USC00161899	82.5103	30.8178	-90.9733	61.0	LA	CLINTON 5 SE
USC00049600	246.683	40.3	-121.05	1521.9	CA	WESTWOOD 3 WSW
USC00234850	988.78	38.8803	-94.3358	304.8	MO	LEES SUMMIT REED WR
USC00418964	1030.43	36.4167	-102.8333	-999.9	TX	TEXLINE
USC00314619	66.0535	34.9667	-77.95	31.1	NC	KENASVILLE 1 E
USC00480206	1406.26	44.7	-104.4333	1219.2	WY	ALVA
USC00425810	688.419	37.0167	-110.2	1597.2	UT	MONUMENT VLY GOULDINGS
USC00410984	501.889	33.5511	-97.8472	329.2	TX	BOWIE
USC00369407	263.013	41.7417	-77.3122	420.6	PA	WELLSBORO
USC00351546	195.19799999999998	43.2292	-121.7894	1450.8	OR	CHEMULT
USC00042088	41.7046	34.0667	-117.8667	182.9	CA	COVINA
USC00451760	98.7574	46.0625	-122.2042	200.9	WA	COUGAR 6 E
USC00306867	349.63699999999994	43.5833	-76.1167	121.9	NY	PULASKI 1 N
USC00247088	883.336	46.2667	-110.7667	1623.1	MT	RINGLING 1 E
USC00205801	890.9889999999999	43.4	-85.7833	234.7	MI	NEWAYGO 2 SSE
USC00054172	1242.43	39.1439	-103.4897	1531.6	CO	HUGO 1 NW
USC00048521	263.253	41.8667	-120.95	1388.1	CA	STEELE SWAMP
USC00022659	333.347	31.345	-109.5394	1231.4	AZ	DOUGLAS
USC00323004	1296.9	46.4581	-101.2	603.5	ND	FLASHER
USC00013151	391.165	34.0167	-86.0	174.0	AL	GADSDEN
USW00094925	1040.93	47.9667	-97.4	276.1	ND	GRAND FORKS AF
USC00027849	447.936	34.2667	-110.0	1955.0	AZ	SHOW LOW
USC00049047	35.4949	34.2667	-118.2833	554.7	CA	TUJUNGA
USC00028805	220.077	32.25	-111.1667	869.0	AZ	TUCSON MTN PARK
CA00615EMR7	452.906	44.05	-77.3	108.0		MOUNTAINVIEW
USC00347080	473.80300000000005	34.1167	-95.0833	149.4	OK	PINE CREEK DAM
USC00167432	8.96308	30.25	-90.1167	9.1	LA	PONTCHARTRAIN CAUSEWAY
USC00198760	22.3923	42.1333	-71.25	61.0	MA	WALPOLE 1 SSE
USC00415193	189.25900000000001	30.4064	-97.0136	141.7	TX	LEXINGTON
USC00212698	1339.09	43.6447	-94.4656	361.8	MN	FAIRMONT
USW00013858	0.8328700000000001	30.4833	-86.5167	18.0	FL	VALPARAISO EGLIN AFB
USW00012858	0.107102	24.5667	-81.8	7.9	FL	KEY WEST
USC00344978	688.693	35.4878	-97.6644	387.1	OK	LAKE OVERHOLSER
USC00042031	45.8213	33.8833	-117.55	185.9	CA	CORONA
USC00330061	454.092	41.0803	-81.5169	329.2	OH	AKRON
USC00321360	1135.3	47.4494	-99.1294	483.4	ND	CARRINGTON
USC00429165	979.794	40.7908	-111.4078	1810.5	UT	WANSHIP DAM
USW00014848	841.3969999999999	41.7072	-86.3164	235.6	IN	SOUTH BEND MICHIANA RGNL AP
USC00440956	65.3843	36.5833	-77.2	11.9	VA	BOYKINS
CA008100300	146.611	46.8	-67.72	91.0		AROOSTOOK
USC00061536	57.6124	41.8	-72.9333	85.0	CT	COLLINSVILLE 1 S
USC00166661	2.18032	30.0333	-90.0333	1.8	LA	NEW ORLEANS AP
USC00251200	1365.03	41.4083	-99.675	762.0	NE	BROKEN BOW 2 W
USC00085099	81.8955	30.2889	-82.965	36.6	FL	LIVE OAK
USC00315996	48.2712	36.4522	-77.0803	30.5	NC	MURFREESBORO
USC00174745	49.7057	44.4717	-70.1594	115.8	ME	LIVERMORE FALLS 1 E
USC00055427	1219.58	39.1289	-103.8456	1777.0	CO	MATHESON 8 SE
USC00123206	733.549	41.3414	-85.1292	268.2	IN	GARRETT
USC00418924	611.149	29.3486	-103.595	802.5	TX	TERLINGUA
CA005010485	917.461	49.87	-99.98	363.0		BRANDON CDA
USC00051681	1191.18	39.8958	-105.3847	2728.0	CO	COAL CREEK CANYON
USC00027496	575.378	35.1667	-109.1667	1905.0	AZ	SANDERS 11 ESE
USC00468844	328.968	37.95	-81.0833	326.1	WV	THURMOND
USC00489770	1173.07	44.0108	-107.9686	1237.5	WY	WORLAND
USC00458207	211.15400000000002	46.3236	-120.0103	227.7	WA	SUNNYSIDE
USC00461696	323.566	38.4597	-81.085	222.5	WV	CLAY
USC00459183	160.533	45.7667	-121.4833	613.0	WA	WHITE SALMON 4 NNE
USC00135198	1317.78	42.0647	-92.9244	265.2	IA	MARSHALLTOWN
USC00331197	402.537	40.0111	-81.5794	243.8	OH	CAMBRIDGE
USC00462013	255.53900000000002	38.1833	-80.2667	1036.9	WV	CRANBERRY GLADES
USC00105724	953.4960000000001	42.6333	-112.2333	1412.1	ID	MCCAMMON 2 WSW
USC00023668	214.90400000000002	31.8931	-110.9978	883.9	AZ	GREEN VALLEY
USC00305714	298.991	43.9708	-74.2219	502.0	NY	NEWCOMB
USC00301595	191.88	42.6667	-74.4333	356.3	NY	COBLESKILL 2 ESE
USC00394037	1471.53	44.0122	-97.5242	474.9	SD	HOWARD
USC00298118	894.357	34.8	-104.55	1403.0	NM	SANTA ROSA 12 SE
USC00026630	121.85700000000001	32.05	-112.3167	580.0	AZ	PISINEMO
USC00419175	809.314	34.5269	-101.8392	1072.9	TX	TULIA
USW00094150	485.624	47.4667	-115.7667	1093.0	ID	MULLAN PASS
USC00354126	100.103	43.3708	-122.9653	329.2	OR	IDLEYLD PARK 4 NE
USW00093111	4.65942	34.1167	-119.1167	4.0	CA	POINT MUGU NF
CA005022051	820.257	49.93	-96.85	246.0		OAKBANK
CA007025670	155.189	45.4	-71.08	503.0		NOTRE DAME DES BOIS
USC00369408	261.686	41.7003	-77.3894	554.1	PA	WELLSBORO 4 SW
USC00470349	916.8380000000001	46.5831	-90.9678	198.1	WI	ASHLAND EXP FARM
USC00487240	1367.8	41.1722	-104.1583	1578.9	WY	PINE BLUFFS 5W
USC00293589	802.1360000000001	36.7	-107.4833	2044.0	NM	GOBERNADOR 7 W
USC00058454	877.198	37.8333	-107.8833	2956.3	CO	TROUT LAKE
USC00188315	209.47799999999998	39.5228	-79.4131	621.8	MD	SINES DEEP CREEK
USC00121873	832.567	40.0028	-86.8011	256.0	IN	CRAWFORDSVILLE 6 SE
USC00092006	355.74199999999996	34.5858	-83.7658	477.6	GA	CLEVELAND
USC00351433	124.91799999999999	44.3914	-122.4811	292.6	OR	CASCADIA
CA001017230	4.6984900000000005	48.65	-123.63	138.0		SHAWNIGAN LAKE
USW00024138	783.3910000000001	45.2575	-112.5545	1585.0	MT	DILLON AP
USC00030618	708.194	36.3603	-93.5514	359.7	AR	BERRYVILLE
USC00305346	86.5219	41.95	-73.5167	223.1	NY	MILLERTON
USC00141612	1001.97	38.9408	-95.3397	299.9	KS	CLINTON LAKE
USC00358985	361.714	45.99	-118.0511	731.5	OR	WALLA WALLA 13 ESE
USC00440403	24.6848	38.85	-77.1333	78.9	VA	BAILEYS CROSSROADS
USW00003883	317.02	33.4667	-86.8333	226.8	AL	BIRMINGHAM WSFO
USC00447330	301.32599999999996	36.85	-80.3667	939.1	VA	ROCKY KNOB
USC00388979	170.91	34.3347	-80.703	70.1	SC	WATEREE DAM
USC00405035	608.936	36.0828	-85.8261	192.0	TN	LANCASTER EDGAR EVINS MARINA
USC00144464	1078.64	37.9411	-101.2492	913.8	KS	LAKIN
USC00230051	1139.43	40.2486	-94.3308	266.7	MO	ALBANY
USC00321686	1123.7	47.2428	-97.6561	359.7	ND	COLGATE
USC00021357	248.635	32.4178	-110.9303	825.1	AZ	CATALINA SP
USC00164674	20.5212	29.9592	-91.7108	6.1	LA	JEANERETTE 5 NW
USW00024011	1250.99	46.7708	-100.7603	505.4	ND	BISMARCK
USC00365834	129.209	40.7167	-76.35	487.7	PA	MINERSVILLE 6 NW
USC00461723	347.99800000000005	38.4933	-81.3483	213.4	WV	CLENDENIN
USC00472507	1022.45	43.8	-88.6333	271.0	WI	EL DORADO 1 SSW
USC00300870	326.313	43.2386	-76.1964	114.9	NY	BREWERTON LOCK 23
USC00150402	685.3760000000001	36.8831	-88.9961	125.0	KY	BARDWELL 2 E
USC00350897	131.125	45.6361	-121.9519	18.9	OR	BONNEVILLE DAM
USC00412082	609.739	31.4072	-102.3578	778.5	TX	CRANE
USW00012859	2.62558	25.7167	-80.2833	4.6	FL	MIAMI WSO CITY
CA00615S001	546.3580000000001	43.78	-79.47	187.0		TORONTO NORTH YORK
USC00235950	676.35	36.5539	-90.3944	91.1	MO	NEELYVILLE 7E
USC00468384	349.97900000000004	38.8008	-81.3583	287.4	WV	SPENCER
USC00350699	229.55599999999998	44.1183	-121.2103	1023.5	OR	BEND 7 NE
CA006104175	424.213	44.23	-76.48	77.0		KINGSTON PUMPING STATION
USW00093812	618.6759999999999	39.1033	-84.4189	149.4	OH	CINCINNATI LUNKEN AP
USC00294396	1029.62	36.8	-104.25	1996.4	NM	JOHNSONS PARK
USC00049785	16.2186	34.1817	-118.5742	240.8	CA	WOODLAND HLS PIERCE CL
USC00427606	940.8589999999999	40.7708	-111.8964	1304.5	UT	SALT LAKE TRIAD CTR
USC00018380	273.491	33.2119	-87.6161	51.5	AL	TUSCALOOSA ACFD
USC00054934	848.555	37.3769	-107.6556	2549.7	CO	LEMON DAM
USC00443690	177.895	36.7833	-78.9167	110.0	VA	HALIFAX 1 N
USC00055420	1068.73	40.2528	-108.6406	1767.2	CO	MASSADONA
USC00123207	733.549	41.3367	-85.1197	265.2	IN	GARRETT 1 S
USC00446147	6.387980000000001	36.8708	-76.2289	30.5	VA	NORFOLK SOUTH
USC00280907	29.5508	40.8922	-74.4033	85.3	NJ	BOONTON 1 SE
USC00308578	281.547	43.2761	-75.1567	243.8	NY	TRENTON FALLS
USC00010252	86.5079	31.3072	-86.5225	76.2	AL	ANDALUSIA 3 W
USC00488884	1171.69	43.7536	-108.1436	1304.8	WY	THERMOPOLIS 9NE
USC00142213	1205.64	39.625	-100.4233	832.1	KS	DRESDEN
USC00081356	1.46055	29.8667	-84.6667	3.0	FL	CARRABELLE 1 NNW
USC00164288	158.195	31.3747	-93.3911	128.0	LA	HODGES GARDENS
USC00435376	208.03900000000002	44.5139	-72.6236	231.6	VT	MORRISVILLE 4 SSW
USC00045064	16.815	34.6539	-120.4514	22.9	CA	LOMPOC
USC00113717	1024.34	39.7378	-90.7086	191.4	IL	GRIGGSVILLE
USC00116025	951.296	39.3536	-88.5	190.5	IL	NEOGA 4NW
USC00121882	843.341	40.0489	-86.8997	203.9	IN	CRAWFORDSVILLE PWR PLT
USC00096126	128.461	32.1739	-82.5956	69.8	GA	MT VERNON
USC00485467	1371.99	43.7667	-105.3833	1495.0	WY	LAWVER 10 SW
USC00257040	1301.97	41.0319	-98.9214	618.7	NE	RAVENNA
USW00093116	3.26907	33.25	-119.45	153.0	CA	SAN NICOLAS ISLAND
USC00320136	1282.19	46.7167	-101.65	702.0	ND	ALMONT 7 W
USC00426455	929.972	40.3161	-111.6539	1469.1	UT	OLMSTEAD PH
USC00158254	518.947	38.6	-83.3167	159.1	KY	VANCEBURG
USC00103289	659.672	45.1167	-114.35	2083.0	ID	FORNEY 7 7 N BLKBIRD M
USC00248021	784.065	47.4778	-111.7406	1097.3	MT	SUN RIVER 4 S
USC00293588	806.957	36.7	-107.4	2047.0	NM	GOBERNADOR
USC00122638	757.498	40.2872	-85.8453	264.0	IN	ELWOOD
USC00135769	1187.99	40.7053	-94.2428	359.7	IA	MT AYR
CA007016800	66.4986	46.72	-72.08	76.0		ST ALBAN
USC00205803	885.221	43.4833	-85.6333	232.0	MI	NEWAYGO HARDY DAM
USC00081601	41.6477	30.4647	-85.1992	38.1	FL	CLARKSVILLE 2 N
CA007017000	53.262	46.82	-71.92	152.0		STE CHRISTINE
USW00024139	690.716	46.6383	-113.1761	1219.2	MT	DRUMMOND AVIATION
USC00207068	751.57	46.0667	-87.15	286.5	MI	ROCK 1 E
USC00235700	770.0160000000001	36.9167	-93.9333	390.1	MO	MONETT
USC00486952	1374.92	44.5833	-104.9333	1257.0	WY	OSHOTO
USC00121192	711.591	39.0356	-85.5306	242.3	IN	BUTLERVILLE 1 WNW
USC00248093	764.1669999999999	48.9972	-111.9642	1069.8	MT	SWEETGRASS
USC00245076	916.07	45.6667	-110.5667	1368.9	MT	LIVINGSTON
USC00059058	1253.7	38.9031	-103.0192	1438.7	CO	WILD HORSE 6N
USC00103143	531.766	46.0931	-115.5356	475.5	ID	FENN RS
USC00356151	90.8211	45.2817	-122.7517	45.7	OR	N WILLAMETTE EXP STN
USC00262849	312.482	39.6167	-119.2667	1268.9	NV	FERNLEY MNTC STN
USC00021356	306.135	34.05	-112.35	854.0	AZ	CASTLE HOT SPRINGS 4 N
USC00322312	972.687	48.5608	-97.1808	243.8	ND	DRAYTON
USW00094817	684.095	42.665	-83.4181	297.5	MI	PONTIAC OAKLAND CO INTL AP
USC00396790	1527.88	43.9919	-100.1617	551.7	SD	PRESHO 7 NW
USC00165610	5.46855	30.0306	-89.9636	-1.5	LA	LOUISIANA NATURE CTR
USC00395154	1614.39	43.2625	-102.4386	943.4	SD	MANDERSON 3 NE
USC00396969	1361.31	44.9733	-97.1494	531.9	SD	RAUVILLE 2 W
USC00108535	993.291	42.6514	-111.5833	1780.6	ID	SODA SPRINGS AP
USC00412404	437.284	33.1992	-97.105	192.0	TX	DENTON 2 SE
USC00321362	1131.11	47.5089	-99.1211	475.5	ND	CARRINGTON 4 N
USC00398572	1526.71	44.15	-100.8	519.1	SD	VAN METRE
USC00153768	778.197	37.7922	-87.5708	128.0	KY	HENDERSON ST POLICE
USC00418323	773.3439999999999	34.4722	-101.3006	999.7	TX	SILVERTON
USC00363211	268.56	41.65	-77.6667	589.8	PA	GERMANIA
USC00026119	276.48900000000003	32.6025	-110.7344	1374.6	AZ	ORACLE 2 SE
USC00304912	344.74	43.7975	-75.4817	262.1	NY	LOWVILLE
USC00353445	88.5624	42.4244	-123.3236	283.5	OR	GRANTS PASS
USC00441180	135.915	36.6	-78.3	98.5	VA	BUGGS ISLAND DAM
USC00459460	166.08700000000002	46.6167	-120.4333	366.1	WA	YAKIMA TERRACE H
USC00028516	418.685	36.03	-114.3289	390.1	AZ	TEMPLE BAR
USC00017328	223.668	32.3	-85.1667	118.9	AL	SEALE
USC00040449	231.395	36.9092	-119.0883	524.3	CA	BALCH PWR HOUSE
USC00367229	290.914	40.9247	-79.2803	390.1	PA	PUTNEYVILLE 2 SE DAM
USC00121417	858.826	40.6653	-86.955	219.5	IN	CHALMERS 5 W
USC00050898	1068.63	37.0167	-103.8833	1914.1	CO	BRANSON
USW00093859	1.81027	30.4167	-87.2167	15.8	FL	PENSACOLA WB CITY
USC00227111	384.32599999999996	34.1381	-88.9983	123.4	MS	PONTOTOC EXP STN
USC00461215	241.623	38.1872	-80.1336	655.3	WV	BUCKEYE
USC00300220	384.709	42.5333	-78.4167	481.6	NY	ARCADE
USC00127028	827.553	41.3333	-86.3167	239.3	IN	PLYMOUTH PWR SUBSTN
USC00247267	1089.69	48.5	-107.5167	680.0	MT	SACO NELSON RSVR
USC00306356	237.99599999999998	42.0811	-76.3178	246.9	NY	OWEGO 3 WSW
USC00242827	535.614	48.8978	-115.0644	771.8	MT	EUREKA RS
USC00040875	86.2124	35.6167	-119.9	217.0	CA	BLACKWELLS CORNER
USC00202782	826.673	44.5167	-85.35	302.1	MI	FIFE LAKE 4 S
USC00343835	981.245	36.7028	-101.4781	935.7	OK	GUYMON
USW00093117	1.2395399999999999	33.0233	-118.5881	55.5	CA	SAN CLEMENTE IS NAAS
